Time;Runs;Alloc;TotalAlloc;Mallocs;Frees;HeapAlloc;HeapSys;HeapIdle;HeapReleased;StackInuse
0;77;309464;309464;816;17;309464;1474560;655360;0;622592
1;242075;3888144;635525552;971272;964726;3888144;6422528;1908736;0;1966080
2;504096;3933232;1323100848;2021496;2014827;3933232;7798784;3186688;0;589824
3;761962;1972256;1999777040;3054987;3051275;1972256;6881280;4358144;0;1507328
4;1016205;1285680;2666939280;4073906;4071270;1285680;7503872;5660672;0;884736
5;1274882;3873920;3345725344;5110522;5104031;3873920;7897088;3358720;0;491520
6;1532065;3831248;4020606912;6141209;6134643;3831248;6258688;1794048;0;2129920
7;1790917;3899840;4699849936;7178649;7172070;3899840;7766016;3186688;0;622592
8;2050712;3868512;5381580576;8220002;8213434;3868512;7864320;3309568;0;524288
9;2307515;3924432;6055462336;9249338;9242543;3924432;7831552;3244032;0;557056
10;2561508;3896304;6721964832;10267299;10260606;3896304;7831552;3260416;0;557056
11;2817033;3909760;7392489856;11291475;11284858;3909760;7798784;3203072;0;589824
12;3068473;3920352;8052297200;12299333;12292494;3920352;7929856;3334144;0;458752
13;3325029;3934800;8725528208;13327629;13320844;3934800;7798784;3194880;0;589824
14;3573281;3937232;9376971328;14322810;14316034;3937232;7798784;3178496;0;589824
15;3830173;2040736;10051089472;15352615;15348550;2040736;6488064;3940352;0;1900544
16;4084421;3907072;10718260208;16372000;16365403;3907072;7831552;3244032;0;557056
17;4344441;3007792;11400580352;17414322;17408838;3007792;6782976;3170304;0;1605632
18;4603927;3929840;12081497472;18454528;18447697;3929840;7897088;3325952;0;491520
19;4858883;3868768;12750536960;19476664;19469889;3868768;7798784;3260416;0;589824
20;5122194;3889856;13441488784;20532067;20525340;3889856;7831552;3260416;0;557056
21;5380657;2479856;14119745040;21568216;21563530;2479856;6717440;3686400;0;1671168
22;5630628;3918032;14775677488;22570020;22563233;3918032;7766016;3170304;0;622592
23;5884327;3954944;15441408624;23587038;23580221;3954944;7831552;3186688;0;557056
24;6144751;3870960;16124798576;24630841;24624054;3870960;6586368;2072576;0;1802240
25;6404422;1484880;16806203152;25671687;25668515;1484880;6979584;4988928;0;1409024
26;6662680;3654432;17483897664;26706672;26700345;3654432;7208960;2908160;0;1179648
27;6909645;3919872;18131952288;27696568;27689815;3919872;7798784;3186688;0;589824
28;7164912;3869232;18801806560;28719734;28713054;3869232;7831552;3268608;0;557056
29;7422593;3938496;19477989600;29752592;29745771;3938496;7798784;3178496;0;589824
30;7680127;3891408;20153786560;30784921;30778172;3891408;7831552;3284992;0;557056
31;7942700;1738048;20842814544;31837334;31833822;1738048;6979584;4685824;0;1409024
32;8201018;1837600;21520673984;32872651;32868913;1837600;7110656;4792320;0;1277952
33;8452051;3927040;22179398544;33878659;33871855;3927040;7831552;3235840;0;557056
34;8705254;3946656;22843827728;34893273;34886452;3946656;7831552;3170304;0;557056
35;8971452;3902608;23542360000;35960165;35953413;3902608;7831552;3268608;0;557056
36;9225296;3915184;24208479904;36977628;36970887;3915184;7798784;3178496;0;589824
37;9481442;2809840;24880639936;38004427;37999185;2809840;6619136;3244032;0;1769472
38;9744789;2289120;25571689984;39059666;39055190;2289120;6520832;3678208;0;1867776
39;10001596;3257360;26245576528;40088938;40083039;3257360;6651904;2768896;0;1736704
40;10260895;3881776;26926014016;41128246;41121497;3881776;7929856;3334144;0;458752
41;10517197;3889648;27598583632;42155540;42148777;3889648;7962624;3391488;0;425984
42;10776826;1837520;28279871488;43196020;43192311;1837520;6619136;4243456;0;1769472
43;11036499;3402880;28961279056;44236758;44230654;3402880;6586368;2564096;0;1802240
44;11291645;3967312;29630798432;45259363;45252413;3967312;7897088;3252224;0;491520
45;11549533;3642736;30307533376;46293098;46286650;3642736;6750208;2449408;0;1638400
46;11803501;3917888;30973963008;47310961;47304232;3917888;7798784;3186688;0;589824
47;12060273;1728400;31647771856;48340290;48336760;1728400;6946816;4677632;0;1441792
48;12314829;3786416;32315749792;49360485;49353836;3786416;6979584;2531328;0;1409024
49;12572853;900992;32992836096;50394600;50392331;900992;7340032;5939200;0;1048576
50;12834332;3581648;33678993344;51442684;51436284;3581648;6881280;2695168;0;1507328
51;13088064;3942032;34344804864;52459791;52452969;3942032;7798784;3211264;0;589824
52;13341721;3869216;35010428000;53476580;53469928;3869216;7798784;3252224;0;589824
53;13608195;3896448;35709682160;54544476;54537786;3896448;7798784;3235840;0;589824
54;13859848;3918592;36370044944;55553102;55546325;3918592;7766016;3178496;0;622592
55;14117354;2898352;37045775536;56585030;56579699;2898352;6586368;3096576;0;1802240
56;14375685;3951728;37723656752;57620460;57613531;3951728;7831552;3186688;0;557056
57;14635064;3967952;38404294528;58660017;58653202;3967952;7897088;3244032;0;491520
58;14898610;3919760;39095870960;59716410;59709526;3919760;7864320;3301376;0;524288
59;15160981;3870672;39784359216;60767721;60761091;3870672;7766016;3170304;0;622592
