Time;Runs;Alloc;TotalAlloc;Mallocs;Frees;HeapAlloc;HeapSys;HeapIdle;HeapReleased;StackInuse
0;46;136024;136024;548;17;136024;720896;122880;0;327680
1;271420;317152;317152;1017;24;317152;1638400;712704;0;3604480
2;569693;320256;320256;1046;31;320256;1638400;704512;0;3604480
3;859836;322976;322976;1074;38;322976;1638400;704512;0;3604480
4;1162392;325952;325952;1101;45;325952;1638400;696320;0;3604480
5;1464700;328624;328624;1129;52;328624;1638400;696320;0;3604480
6;1735323;332112;332112;1159;59;332112;1605632;663552;0;3637248
7;2034932;335216;335216;1188;66;335216;1605632;663552;0;3637248
8;2314642;337808;337808;1214;73;337808;1605632;663552;0;3637248
9;2579545;340432;340432;1239;80;340432;1605632;663552;0;3637248
10;2871198;343024;343024;1265;87;343024;1605632;663552;0;3637248
11;3157241;345616;345616;1291;94;345616;1605632;663552;0;3637248
12;3446919;348208;348208;1317;101;348208;1605632;663552;0;3637248
13;3748143;350800;350800;1343;108;350800;1605632;663552;0;3637248
14;4043335;353392;353392;1369;115;353392;1605632;663552;0;3637248
15;4358104;356000;356000;1396;122;356000;1605632;663552;0;3637248
16;4649695;358592;358592;1422;129;358592;1605632;663552;0;3637248
17;4946230;361184;361184;1448;136;361184;1605632;663552;0;3637248
18;5224788;363776;363776;1474;143;363776;1605632;663552;0;3637248
19;5483256;366400;366400;1499;150;366400;1605632;663552;0;3637248
20;5777942;368992;368992;1525;157;368992;1605632;647168;0;3637248
21;6017553;371248;371248;1550;164;371248;1605632;647168;0;3637248
22;6281246;373488;373488;1574;171;373488;1605632;630784;0;3637248
23;6522935;375744;375744;1599;178;375744;1605632;630784;0;3637248
24;6808942;378336;378336;1625;185;378336;1605632;630784;0;3637248
25;7073971;380576;380576;1649;192;380576;1605632;630784;0;3637248
26;7308186;382464;382464;1671;199;382464;1605632;630784;0;3637248
27;7627330;385408;385408;1699;206;385408;1605632;622592;0;3637248
28;7911976;388000;388000;1725;213;388000;1605632;622592;0;3637248
29;8189512;390240;390240;1749;220;390240;1605632;614400;0;3637248
30;8488607;393312;393312;1779;227;393312;1605632;614400;0;3637248
31;8789846;396960;396960;1807;234;396960;1605632;614400;0;3637248
32;9093826;399568;399568;1834;241;399568;1605632;614400;0;3637248
33;9380502;402160;402160;1860;248;402160;1605632;614400;0;3637248
34;9677653;404752;404752;1886;255;404752;1605632;614400;0;3637248
35;9948249;406992;406992;1910;262;406992;1605632;614400;0;3637248
36;10216601;409584;409584;1936;269;409584;1605632;614400;0;3637248
37;10520632;412192;412192;1962;275;412192;1605632;614400;0;3637248
38;10800372;414800;414800;1988;281;414800;1605632;614400;0;3637248
39;11080013;417056;417056;2012;287;417056;1605632;614400;0;3637248
40;11375510;419664;419664;2038;293;419664;1605632;606208;0;3637248
41;11680914;422624;422624;2066;299;422624;1605632;606208;0;3637248
42;11941525;424880;424880;2090;305;424880;1605632;606208;0;3637248
43;12231134;427488;427488;2116;311;427488;1605632;589824;0;3637248
44;12587780;430448;430448;2144;317;430448;1605632;581632;0;3637248
45;12868717;433056;433056;2170;323;433056;1605632;581632;0;3637248
46;13147665;435664;435664;2196;329;435664;1605632;581632;0;3637248
47;13440711;437920;437920;2220;335;437920;1605632;581632;0;3637248
48;13747894;441264;441264;2249;341;441264;1605632;581632;0;3637248
49;14035642;443872;443872;2275;347;443872;1605632;581632;0;3637248
50;14327812;446480;446480;2301;353;446480;1605632;581632;0;3637248
51;14630520;449088;449088;2327;359;449088;1605632;581632;0;3637248
52;14897239;451344;451344;2351;365;451344;1605632;581632;0;3637248
53;15194912;453952;453952;2377;371;453952;1605632;581632;0;3637248
54;15480437;456560;456560;2403;377;456560;1605632;573440;0;3637248
55;15791642;459552;459552;2430;383;459552;1572864;540672;0;3670016
56;16080001;462160;462160;2456;389;462160;1572864;540672;0;3670016
57;16371154;464768;464768;2482;395;464768;1572864;540672;0;3670016
58;16639387;467376;467376;2508;401;467376;1572864;540672;0;3670016
59;16958141;469984;469984;2534;407;469984;1572864;532480;0;3670016
