Time;Runs;Alloc;TotalAlloc;Mallocs;Frees;HeapAlloc;HeapSys;HeapIdle;HeapReleased;StackInuse
0;2821;295432;295432;923;17;295432;1015808;147456;0;3178496
1;419579;316560;316560;989;24;316560;1638400;761856;0;3604480
2;811321;316816;316816;1003;31;316816;1638400;761856;0;3604480
3;1188445;317072;317072;1017;38;317072;1638400;761856;0;3604480
4;1593317;318096;318096;1033;45;318096;1638400;761856;0;3604480
5;2029938;321264;321264;1052;52;321264;1638400;761856;0;3604480
6;2472227;321776;321776;1065;59;321776;1638400;761856;0;3604480
7;2959884;322032;322032;1079;66;322032;1638400;761856;0;3604480
8;3468775;322160;322160;1091;73;322160;1638400;761856;0;3604480
9;3945012;324976;324976;1110;80;324976;1572864;696320;0;3670016
10;4443831;326512;326512;1124;87;326512;1572864;696320;0;3670016
11;4948715;326640;326640;1136;94;326640;1572864;696320;0;3670016
12;5435644;326768;326768;1148;101;326768;1572864;696320;0;3670016
13;5911990;326896;326896;1160;108;326896;1572864;696320;0;3670016
14;6390470;327024;327024;1172;115;327024;1572864;696320;0;3670016
15;6803317;327152;327152;1184;122;327152;1572864;696320;0;3670016
16;7248709;327280;327280;1196;129;327280;1572864;696320;0;3670016
17;7574257;327408;327408;1208;136;327408;1572864;696320;0;3670016
18;8024469;327536;327536;1220;143;327536;1572864;696320;0;3670016
19;8512044;327792;327792;1234;150;327792;1572864;696320;0;3670016
20;8986100;327920;327920;1246;157;327920;1572864;696320;0;3670016
21;9453752;328048;328048;1258;164;328048;1572864;696320;0;3670016
22;9964898;328176;328176;1270;171;328176;1572864;696320;0;3670016
23;10457575;328304;328304;1282;178;328304;1572864;696320;0;3670016
24;10953012;328448;328448;1294;184;328448;1572864;696320;0;3670016
25;11424397;328592;328592;1306;190;328592;1572864;696320;0;3670016
26;11881299;328736;328736;1318;196;328736;1572864;696320;0;3670016
27;12353987;329264;329264;1331;202;329264;1572864;696320;0;3670016
28;12827728;329408;329408;1343;208;329408;1572864;696320;0;3670016
29;13324744;329552;329552;1355;214;329552;1572864;696320;0;3670016
30;13837088;329696;329696;1367;220;329696;1572864;696320;0;3670016
31;14345971;329840;329840;1379;226;329840;1572864;696320;0;3670016
32;14818794;329984;329984;1391;232;329984;1572864;696320;0;3670016
33;15313989;330128;330128;1403;238;330128;1572864;696320;0;3670016
34;15783839;330272;330272;1415;244;330272;1572864;696320;0;3670016
35;16255141;330416;330416;1427;250;330416;1572864;696320;0;3670016
36;16754865;330560;330560;1439;256;330560;1572864;696320;0;3670016
37;17225874;330704;330704;1451;262;330704;1572864;696320;0;3670016
38;17713084;330848;330848;1463;268;330848;1572864;696320;0;3670016
39;18215449;330992;330992;1475;274;330992;1572864;696320;0;3670016
40;18696062;331136;331136;1487;280;331136;1572864;696320;0;3670016
41;19215821;331280;331280;1499;286;331280;1572864;696320;0;3670016
42;19723412;331424;331424;1511;292;331424;1572864;696320;0;3670016
43;20263585;331568;331568;1523;298;331568;1572864;696320;0;3670016
44;20752103;331712;331712;1535;304;331712;1572864;696320;0;3670016
45;21253524;331856;331856;1547;310;331856;1572864;696320;0;3670016
46;21724916;332000;332000;1559;316;332000;1572864;696320;0;3670016
47;22212875;332144;332144;1571;322;332144;1572864;696320;0;3670016
48;22728196;332672;332672;1584;328;332672;1572864;696320;0;3670016
49;23208819;332816;332816;1596;334;332816;1572864;696320;0;3670016
50;23721638;332960;332960;1608;340;332960;1572864;696320;0;3670016
51;24220096;333104;333104;1620;346;333104;1572864;696320;0;3670016
52;24704195;333248;333248;1632;352;333248;1572864;696320;0;3670016
53;25206301;333392;333392;1644;358;333392;1572864;696320;0;3670016
54;25686760;333536;333536;1656;364;333536;1572864;696320;0;3670016
55;26140247;333680;333680;1668;370;333680;1572864;696320;0;3670016
56;26644598;333824;333824;1680;376;333824;1572864;696320;0;3670016
57;27112624;333968;333968;1692;382;333968;1572864;696320;0;3670016
58;27609413;334112;334112;1704;388;334112;1572864;696320;0;3670016
59;28061095;334256;334256;1716;394;334256;1572864;696320;0;3670016
