Time;Runs;Alloc;TotalAlloc;Mallocs;Frees;HeapAlloc;HeapSys;HeapIdle;HeapReleased;StackInuse
0;79;196136;196136;872;17;196136;1409024;696320;0;688128
1;418880;4063664;255352480;1677950;1652184;4063664;7766016;3153920;0;622592
2;793888;4053952;483689496;3179319;3153607;4053952;7798784;3260416;0;589824
3;1194822;1091048;727816016;4784496;4778623;1091048;6848512;5242880;0;1540096
4;1595263;1223160;971640008;6387623;6380527;1223160;6553600;4882432;0;1835008
5;1990804;2616824;1212474744;7971128;7954854;2616824;6455296;3391488;0;1933312
6;2392123;4002480;1456834984;9577811;9552720;4002480;7798784;3260416;0;589824
7;2826533;2890648;1721335864;11316939;11298866;2890648;6651904;3276800;0;1736704
8;3251913;3935896;1980354392;13019963;12995497;3935896;7798784;3276800;0;589824
9;3693679;3894184;2249334912;14788589;14763926;3894184;6258688;1843200;0;2129920
10;4135957;4059856;2518633176;16559274;16533526;4059856;7798784;3203072;0;589824
11;4570111;3272568;2782987640;18297520;18276938;3272568;6520832;2744320;0;1867776
12;4975856;4041856;3030038784;19921881;19896283;4041856;7831552;3260416;0;557056
13;5412617;2595368;3295973624;21670486;21654870;2595368;6881280;3776512;0;1507328
14;5824631;1634552;3546848096;23320025;23310211;1634552;6619136;4546560;0;1769472
15;6253060;1292664;3807712256;25035225;25027662;1292664;6488064;4710400;0;1900544
16;6657761;1498776;4054134080;26655441;26646521;1498776;6520832;4546560;0;1867776
17;7073108;1134824;4307030576;28318277;28312595;1134824;7307264;5668864;0;1081344
18;7481139;2582632;4555476912;29951858;29935808;2582632;6488064;3407872;0;1900544
19;7877753;1358616;4796970920;31539783;31531776;1358616;6553600;4702208;0;1835008
20;8274545;4017168;5038571744;33128286;33102989;4017168;7831552;3284992;0;557056
21;8688047;2012600;5290361624;34783864;34771580;2012600;6488064;4014080;0;1900544
22;9095420;3706168;5538405400;36414759;36391328;3706168;6586368;2375680;0;1802240
23;9518200;3590056;5795830320;38107371;38084695;3590056;6422528;2375680;0;1966080
24;9946607;3392840;6056683072;39822470;39801095;3392840;6586368;2736128;0;1802240
25;10396079;1224200;6330370496;41621995;41614878;1224200;6619136;4898816;0;1769472
26;10828651;3712600;6593752656;43353774;43330285;3712600;6225920;1998848;0;2162688
27;11255790;2875528;6853836368;45063864;45045883;2875528;6258688;2908160;0;2129920
28;11697522;3618968;7122801072;46832340;46809466;3618968;6291456;2187264;0;2097152
29;12095133;3433736;7364900664;48424191;48402532;3433736;6324224;2342912;0;2064384
30;12513166;693320;7619436480;50097832;50094196;693320;6455296;5259264;0;1933312
31;12930797;1479176;7873719136;51769764;51760954;1479176;6520832;4612096;0;1867776
32;13338839;4006832;8122172152;53403372;53378180;4006832;7766016;3178496;0;622592
33;13793424;1316872;8398962760;55223267;55215522;1316872;6324224;4562944;0;2064384
34;14207841;4003632;8651291032;56882314;56857073;4003632;7831552;3284992;0;557056
35;14622602;3284232;8903833872;58542876;58522181;3284232;6160384;2400256;0;2228224
36;15037673;2585224;9156570512;60204678;60188582;2585224;6389760;3366912;0;1998848
37;15449547;3567736;9407349976;61853646;61831082;3567736;5963776;1908736;0;2424832
38;15873404;1195224;9665437768;63550593;63543635;1195224;6750208;5144576;0;1638400
39;16294095;3993888;9921591136;65234773;65209676;3993888;7798784;3252224;0;589824
40;16703421;3700232;10170823776;66873486;66850047;3700232;6225920;2015232;0;2162688
41;17125427;3753928;10427774696;68562905;68539113;3753928;6651904;2392064;0;1736704
42;17527135;2473544;10672362920;70171069;70155695;2473544;6520832;3571712;0;1867776
43;17944554;3518712;10926519160;71842134;71819885;3518712;5931008;1941504;0;2457600
44;18368565;935752;11184691608;73539697;73534433;935752;6553600;5152768;0;1835008
45;18817628;2344296;11458125760;75337496;75322965;2344296;6520832;3719168;0;1867776
46;19238277;1564392;11714253576;77021538;77012132;1564392;6586368;4571136;0;1802240
47;19653121;1000312;11966847976;78682282;78676580;1000312;6422528;4972544;0;1966080
48;20075549;1179256;12224062448;80373487;80366608;1179256;6586368;4964352;0;1802240
49;20501887;3974064;12483648784;82080269;82055270;3974064;7733248;3219456;0;655360
50;20935892;3995312;12747909352;83817799;83792590;3995312;7766016;3244032;0;622592
51;21345264;4034992;12997173568;85456770;85431110;4034992;7798784;3244032;0;589824
52;21746742;2970472;13241627736;87064049;87045367;2970472;6520832;3096576;0;1867776
53;22156796;3551624;13491306032;88705638;88683140;3551624;6356992;2326528;0;2031616
54;22565007;2955432;13739856072;90339861;90321285;2955432;6553600;3121152;0;1835008
55;22994882;4033888;14001605968;92060866;92035388;4033888;7733248;3186688;0;655360
56;23427889;3638488;14265259680;93794303;93771230;3638488;5996544;1916928;0;2392064
57;23844318;4007696;14518816472;95461460;95436127;4007696;7864320;3342336;0;524288
58;24273206;1011048;14779959688;97178479;97172679;1011048;6651904;5152768;0;1736704
59;24690576;2289128;15034085752;98849344;98835133;2289128;6389760;3620864;0;1998848
