Time;Runs;Alloc;TotalAlloc;Mallocs;Frees;HeapAlloc;HeapSys;HeapIdle;HeapReleased;StackInuse
0;213;662712;662712;1382;17;662712;1867776;647168;0;1277952
1;252977;3904544;664129088;1015061;1008668;3904544;7864320;3244032;0;524288
2;511628;2655584;1342864992;2051739;2047205;2655584;6717440;3481600;0;1671168
3;771463;3078224;2024705936;3093134;3087753;3078224;6422528;2711552;0;1966080
4;1023943;3909504;2687231584;4105064;4098479;3909504;7831552;3244032;0;557056
5;1276007;3882544;3348677984;5115501;5108888;3882544;7831552;3268608;0;557056
6;1540143;3987840;4041804368;6174368;6167545;3987840;7798784;3137536;0;589824
7;1791704;3936784;4701932768;7182813;7176018;3936784;7798784;3178496;0;589824
8;2052375;3922128;5385965040;8227644;8220831;3922128;7798784;3186688;0;589824
9;2313512;3927104;6071210528;9274124;9267349;3927104;7831552;3219456;0;557056
10;2577228;3365680;6763237152;10331040;10324994;3365680;6488064;2482176;0;1900544
11;2827201;3941344;7419183648;11332919;11326192;3941344;7897088;3268608;0;491520
12;3086357;3971136;8099239584;12371624;12364743;3971136;7798784;3112960;0;589824
13;3343034;3924880;8772784080;13400394;13393514;3924880;7733248;3121152;0;655360
14;3600932;3944368;9449541376;14434240;14427359;3944368;7798784;3170304;0;589824
15;3853882;1624976;10113320720;15448265;15444879;1624976;6815744;4677632;0;1572864
16;4112292;3920432;10791414144;16484132;16477389;3920432;7766016;3145728;0;622592
17;4367195;3923856;11460309232;17506157;17499194;3923856;7864320;3260416;0;524288
18;4628053;1780640;12144843504;18551907;18548192;1780640;6979584;4636672;0;1409024
19;4881458;1588432;12809806608;19567852;19564471;1588432;6979584;4857856;0;1409024
20;5127797;3872160;13456220416;20555339;20548645;3872160;7733248;3153920;0;655360
21;5386850;3448256;14136009872;21593771;21587587;3448256;6651904;2588672;0;1736704
22;5640657;3882976;14802024384;22611216;22604359;3882976;7864320;3309568;0;524288
23;5895236;3030704;15470085008;23631762;23626205;3030704;6717440;3096576;0;1671168
24;6153170;3960224;16146920576;24665959;24659080;3960224;7766016;3129344;0;622592
25;6409935;1580064;16820707424;25695179;25691861;1580064;6946816;4816896;0;1441792
26;6662995;4023184;17484757312;26709560;26702504;4023184;7864320;3194880;0;524288
27;6913159;1998560;18141217568;27712199;27708261;1998560;6848512;4276224;0;1540096
28;7170138;3900624;18815556544;28742442;28735720;3900624;7798784;3219456;0;589824
29;7429144;3926224;19495218208;29780655;29773708;3926224;7864320;3268608;0;524288
30;7686706;3858768;20171090976;30812991;30806196;3858768;7798784;3235840;0;589824
31;7943016;3856960;20843674128;31840377;31833650;3856960;7831552;3284992;0;557056
32;8197909;3938928;21512545296;32862293;32855325;3938928;7831552;3194880;0;557056
33;8461044;3866016;22203038768;33917127;33910421;3866016;7798784;3244032;0;589824
34;8714743;860944;22868789632;34933931;34931692;860944;7307264;5971968;0;1081344
35;8963935;3914912;23522677776;35932837;35925893;3914912;7766016;3170304;0;622592
36;9217484;3907584;24188024528;36949174;36942418;3907584;7798784;3186688;0;589824
37;9480598;3927712;24878460352;38003819;37997071;3927712;7733248;3104768;0;655360
38;9735449;3972576;25547218624;39025397;39018419;3972576;7897088;3260416;0;491520
39;9993009;3957888;26223088832;40057775;40050776;3957888;7766016;3137536;0;622592
40;10251910;3866032;26902472496;41095679;41088904;3866032;7798784;3244032;0;589824
41;10513418;3931104;27588701440;42144011;42137043;3931104;7766016;3153920;0;622592
42;10768157;3908352;28257165696;43165133;43158268;3908352;7798784;3211264;0;589824
43;11026997;3944800;28936391840;44202522;44195561;3944800;7897088;3293184;0;491520
44;11278490;3924656;29596333488;45210380;45203540;3924656;7798784;3170304;0;589824
45;11539862;2337152;30282207680;46257829;46253348;2337152;6586368;3694592;0;1802240
46;11798298;3909984;30960358272;47293511;47286609;3909984;7733248;3145728;0;655360
47;12057400;3852832;31640271168;48331986;48325390;3852832;7798784;3235840;0;589824
48;12305828;3127008;32292178496;49327721;49322223;3127008;7012352;3284992;0;1376256
49;12566165;3921616;32975325584;50371275;50364459;3921616;7831552;3211264;0;557056
50;12821180;3922304;33644507872;51393355;51386575;3922304;7831552;3211264;0;557056
51;13083105;3937216;34331830816;52443173;52436358;3937216;7897088;3268608;0;491520
52;13334090;3895376;34990439904;53449161;53442570;3895376;7798784;3211264;0;589824
53;13588607;2025920;35658327376;54469298;54465355;2025920;6881280;4317184;0;1507328
54;13847720;3943344;36338262592;55507769;55501088;3943344;7798784;3129344;0;589824
55;14091040;3907392;36976757952;56482914;56476088;3907392;7864320;3293184;0;524288
56;14343563;3868976;37639406736;57494996;57488366;3868976;7766016;3186688;0;622592
57;14601292;3951440;38315716032;58528095;58521162;3951440;7831552;3227648;0;557056
58;14853633;3881888;38977883280;59539426;59532684;3881888;7831552;3301376;0;557056
59;15110577;3048912;39652139872;60569373;60563737;3048912;6782976;3153920;0;1605632
