Time;Runs;Alloc;TotalAlloc;Mallocs;Frees;HeapAlloc;HeapSys;HeapIdle;HeapReleased;StackInuse
0;76;319480;319480;830;17;319480;1441792;622592;0;655360
1;255798;3907120;671532272;1026258;1019688;3907120;7897088;3219456;0;491520
2;516544;3572352;1355761808;2071278;2065208;3572352;6488064;2195456;0;1900544
3;775962;3961040;2036498368;3110982;3104256;3961040;7798784;3088384;0;589824
4;1035173;3868800;2716699056;4149911;4143393;3868800;7864320;3244032;0;524288
5;1291291;3942384;3388784720;5176488;5169833;3942384;7864320;3186688;0;524288
6;1551479;3931776;4071547488;6219235;6212504;3931776;7831552;3137536;0;557056
7;1814576;1801488;4761948080;7273607;7270026;1801488;6619136;4227072;0;1769472
8;2075312;3917792;5446142912;8318761;8311987;3917792;7831552;3170304;0;557056
9;2336579;3944928;6131738144;9365959;9359270;3944928;7798784;3112960;0;589824
10;2588288;3918416;6792246368;10374854;10368306;3918416;7798784;3096576;0;589824
11;2858880;3920064;7502307792;11459434;11452864;3920064;7831552;3170304;0;557056
12;3118540;3926512;8183693984;12500222;12493547;3926512;7864320;3211264;0;524288
13;3379469;3881776;8868399376;13546146;13539476;3881776;7831552;3219456;0;557056
14;3640392;3957680;9553081824;14591824;14585036;3957680;7798784;3112960;0;589824
15;3893191;3896176;10216454912;15605223;15598542;3896176;7798784;3170304;0;589824
16;4147078;2959840;10882694144;16622891;16617534;2959840;6979584;3334144;0;1409024
17;4402856;3970656;11553873440;17648097;17641300;3970656;7831552;3104768;0;557056
18;4655595;3714208;12217093856;18661016;18654617;3714208;7667712;3219456;0;720896
19;4915127;3941568;12898129488;19701199;19694469;3941568;7864320;3194880;0;524288
20;5171995;3960800;13572178048;20730718;20723885;3960800;7831552;3137536;0;557056
21;5428817;3938480;14246104192;21760053;21753202;3938480;7929856;3284992;0;458752
22;5690805;3848688;14933595392;22810333;22803805;3848688;7798784;3194880;0;589824
23;5951601;3952368;15617960272;23855724;23848891;3952368;7798784;3137536;0;589824
24;6200549;2033232;16271225696;24853537;24849783;2033232;6717440;4104192;0;1671168
25;6463556;3947904;16961378592;25907672;25900754;3947904;7831552;3170304;0;557056
26;6725435;3934112;17648578432;26957345;26950501;3934112;7864320;3211264;0;524288
27;6983252;3919232;18325123344;27990836;27983982;3919232;7766016;3096576;0;622592
28;7243498;3874656;19008030432;29033922;29027169;3874656;7897088;3309568;0;491520
29;7502718;3936304;19688251648;30073006;30066079;3936304;7766016;3129344;0;622592
30;7766233;1648064;20379754560;31129289;31125864;1648064;6815744;4620288;0;1572864
31;8025911;3602336;21061184800;32170138;32163715;3602336;6586368;2318336;0;1802240
32;8289197;3952304;21752056304;33225561;33218665;3952304;7798784;3153920;0;589824
33;8543286;2933168;22418824320;34244000;34238611;2933168;6914048;3358720;0;1474560
34;8807074;3950464;23111022016;35301265;35294356;3950464;7864320;3252224;0;524288
35;9063273;3268496;23783323296;36328096;36322174;3268496;6324224;2408448;0;2064384
36;9327690;3284496;24477186592;37388069;37382168;3284496;6586368;2670592;0;1802240
37;9589695;3941024;25164704480;38438158;38431287;3941024;7831552;3178496;0;557056
38;9845973;3687984;25837215920;39465214;39458676;3687984;6488064;2121728;0;1900544
39;10103926;3891488;26514103456;40499147;40492428;3891488;7831552;3203072;0;557056
40;10367046;3934784;27204556096;41553751;41547020;3934784;7897088;3235840;0;491520
41;10625147;3121088;27881845728;42588108;42582589;3121088;7241728;3473408;0;1146880
42;10883084;3887808;28558694544;43621888;43615139;3887808;7897088;3260416;0;491520
43;11144739;3927968;29245315120;44670776;44663983;3927968;7798784;3162112;0;589824
44;11404489;1483104;29926922688;45711799;45708672;1483104;7012352;4972544;0;1376256
45;11659076;3941184;30594978304;46732212;46725424;3941184;7897088;3227648;0;491520
46;11921185;3878320;31282785632;47782802;47776135;3878320;7897088;3260416;0;491520
47;12180503;3922912;31963261504;48822342;48815599;3922912;7897088;3227648;0;491520
48;12430368;3037936;32618951312;49823942;49818411;3037936;7372800;3694592;0;1015808
49;12691936;3932816;33305323328;50872347;50865582;3932816;7798784;3121152;0;589824
50;12948981;1341616;33979844416;51902579;51899726;1341616;6979584;5070848;0;1409024
51;13204173;3927504;34649485216;52925350;52918530;3927504;7831552;3194880;0;557056
52;13465155;3943376;35334329456;53971327;53964567;3943376;7798784;3137536;0;589824
53;13721466;2636752;36006926720;54998581;54993703;2636752;6422528;3153920;0;1966080
54;13980817;3353744;36687489168;56038235;56032223;3353744;6619136;2580480;0;1769472
55;14241505;3917696;37371560192;57083177;57076539;3917696;7864320;3194880;0;524288
56;14496525;2831680;38040763152;58105318;58099933;2831680;7176192;3670016;0;1212416
57;14753678;2952336;38715563232;59136014;59130551;2952336;6520832;2973696;0;1867776
58;15010125;3904192;39388497664;60163955;60157017;3904192;7897088;3317760;0;491520
59;15270649;3913104;40072140864;61208219;61201465;3913104;7929856;3284992;0;458752
