Time;Runs;Alloc;TotalAlloc;Mallocs;Frees;HeapAlloc;HeapSys;HeapIdle;HeapReleased;StackInuse
0;61;138920;138920;542;17;138920;688128;90112;0;360448
1;304175;322640;322640;994;24;322640;1671168;745472;0;3571712
2;568609;322832;322832;1007;31;322832;1671168;745472;0;3571712
3;857255;323104;323104;1022;38;323104;1671168;745472;0;3571712
4;1155205;323616;323616;1035;45;323616;1671168;745472;0;3571712
5;1447975;323760;323760;1048;52;323760;1671168;745472;0;3571712
6;1746053;324016;324016;1062;59;324016;1671168;745472;0;3571712
7;2029309;324176;324176;1075;66;324176;1671168;745472;0;3571712
8;2305699;324704;324704;1089;73;324704;1671168;745472;0;3571712
9;2588360;324960;324960;1103;80;324960;1671168;745472;0;3571712
10;2866319;325472;325472;1116;87;325472;1638400;712704;0;3604480
11;3154398;325600;325600;1128;94;325600;1638400;712704;0;3604480
12;3446433;325728;325728;1140;101;325728;1638400;712704;0;3604480
13;3739231;325856;325856;1152;108;325856;1638400;712704;0;3604480
14;4014066;326496;326496;1167;115;326496;1638400;712704;0;3604480
15;4287328;327008;327008;1180;122;327008;1638400;712704;0;3604480
16;4569534;327648;327648;1195;129;327648;1638400;712704;0;3604480
17;4848348;327776;327776;1207;136;327776;1638400;712704;0;3604480
18;5145608;330976;330976;1227;143;330976;1572864;647168;0;3670016
19;5428848;331104;331104;1239;150;331104;1572864;647168;0;3670016
20;5703356;331232;331232;1251;157;331232;1572864;647168;0;3670016
21;5996740;331360;331360;1263;164;331360;1572864;647168;0;3670016
22;6298098;331488;331488;1275;171;331488;1572864;647168;0;3670016
23;6591744;331616;331616;1287;178;331616;1572864;647168;0;3670016
24;6884520;331744;331744;1299;185;331744;1572864;647168;0;3670016
25;7170916;331872;331872;1311;192;331872;1572864;647168;0;3670016
26;7489493;332000;332000;1323;199;332000;1572864;647168;0;3670016
27;7799529;332128;332128;1335;206;332128;1572864;647168;0;3670016
28;8083720;332256;332256;1347;213;332256;1572864;647168;0;3670016
29;8384258;332384;332384;1359;220;332384;1572864;647168;0;3670016
30;8635307;332512;332512;1371;227;332512;1572864;647168;0;3670016
31;8908974;332640;332640;1383;234;332640;1572864;647168;0;3670016
32;9199790;332768;332768;1395;241;332768;1572864;647168;0;3670016
33;9499783;332896;332896;1407;248;332896;1572864;647168;0;3670016
34;9775359;333024;333024;1419;255;333024;1572864;647168;0;3670016
35;10070033;333152;333152;1431;262;333152;1572864;647168;0;3670016
36;10347129;333328;333328;1444;268;333328;1572864;647168;0;3670016
37;10637376;333472;333472;1456;274;333472;1572864;647168;0;3670016
38;10909139;335024;335024;1470;280;335024;1572864;647168;0;3670016
39;11211030;335168;335168;1482;286;335168;1572864;647168;0;3670016
40;11523276;335312;335312;1494;292;335312;1572864;647168;0;3670016
41;11807298;335456;335456;1506;298;335456;1572864;647168;0;3670016
42;12108790;335600;335600;1518;304;335600;1572864;647168;0;3670016
43;12390988;335744;335744;1530;310;335744;1572864;647168;0;3670016
44;12681102;335888;335888;1542;316;335888;1572864;647168;0;3670016
45;12981501;336032;336032;1554;322;336032;1572864;647168;0;3670016
46;13279736;336176;336176;1566;328;336176;1572864;647168;0;3670016
47;13582042;336320;336320;1578;334;336320;1572864;647168;0;3670016
48;13859043;336464;336464;1590;340;336464;1572864;647168;0;3670016
49;14166614;336608;336608;1602;346;336608;1572864;647168;0;3670016
50;14463102;336752;336752;1614;352;336752;1572864;647168;0;3670016
51;14763103;336896;336896;1626;358;336896;1572864;647168;0;3670016
52;15042499;337056;337056;1639;364;337056;1572864;647168;0;3670016
53;15334080;337200;337200;1651;370;337200;1572864;647168;0;3670016
54;15628586;339984;339984;1668;376;339984;1572864;647168;0;3670016
55;15906243;340128;340128;1680;382;340128;1572864;647168;0;3670016
56;16196287;340272;340272;1692;388;340272;1572864;647168;0;3670016
57;16479928;340416;340416;1704;394;340416;1572864;647168;0;3670016
58;16774813;340576;340576;1717;400;340576;1572864;647168;0;3670016
59;17065393;340720;340720;1729;406;340720;1572864;647168;0;3670016
